TimeStamp,Total_KW,GHI,GII,MOD_TEMP,AMB_TEMP,AIR_PRESS,CLOUD_COVER,Hour,Minute,Day_of_Year,Day_of_Week,Total_KW_Lag1,Total_KW_Lag2,GHI_Rolling_Mean_2h,Temp_Rolling_Std_2h,GHI_Delta,GHI_Temp_Interaction
2024-11-14 13:30:00,53.9,650.19,757.25,39.88,40.76,96.11,0.4,13,30,319,3,59.120000000000005,32.39,611.9000000000001,2.6284643805842256,-17.25,25929.577200000003
2024-11-20 05:00:00,-0.4,0.0,0.0,10.28,16.47,96.01,0.11,5,0,325,2,53.9,59.120000000000005,466.7275,14.57919407923497,-650.19,0.0
2024-12-04 01:00:00,-0.43,0.0,0.0,17.39,24.1,95.95,0.19,1,0,339,2,-0.4,53.9,329.4075,14.786406764322425,0.0,0.0
2024-12-13 22:00:00,-0.41,0.0,0.0,9.45,17.01,96.24,0.13,22,0,348,4,-0.43,-0.4,162.5475,14.20747925096731,0.0,0.0
2024-12-20 00:00:00,-0.41,0.0,0.0,17.92,23.23,95.92,0.2,0,0,355,4,-0.41,-0.43,0.0,4.5154918521315714,0.0,0.0
2024-12-30 19:30:00,39.510000000000005,0.0,0.0,16.53,25.29,96.36,0.28,19,30,365,0,-0.41,-0.41,0.0,3.956676846378361,0.0,0.0
2024-12-31 03:30:00,-0.4,0.0,0.0,12.64,18.49,96.28,0.22,3,30,366,1,39.510000000000005,-0.41,0.0,3.84042098386795,0.0,0.0
2025-01-01 17:00:00,6.43,28.94,114.56,25.17,37.6,96.1,0.2,17,0,1,2,-0.4,39.510000000000005,7.235,5.237330745077429,28.94,728.4198000000001
2025-01-04 23:30:00,-0.39,0.0,0.0,8.53,15.83,96.05,0.1,23,30,4,5,6.43,-0.4,7.235,7.097912251735245,-28.94,0.0
2025-01-08 09:00:00,61.18,410.84,512.44,20.4,22.6,96.43,0.43,9,0,8,2,-0.39,6.43,109.945,7.4980553034325705,410.84,8381.135999999999
2025-01-09 10:00:00,86.24000000000001,596.85,724.11,27.38,28.31,96.57,0.46,10,0,9,3,61.18,-0.39,259.1575,8.413611986933237,186.01000000000005,16341.753
2025-01-15 13:00:00,48.93,591.97,654.47,35.74,34.71,96.43,0.31,13,0,15,2,86.24000000000001,61.18,399.91499999999996,11.512779493530946,-4.8799999999999955,21157.007800000003
2025-02-05 00:00:00,-0.4,0.0,0.0,16.8,23.1,95.85,0.1,0,0,36,2,48.93,86.24000000000001,399.91499999999996,8.354368118934353,-591.97,0.0
2025-02-11 04:00:00,-0.4,0.0,0.0,15.93,20.83,95.82,0.32,4,0,42,1,-0.4,48.93,297.20500000000004,9.420036712596543,0.0,0.0
2025-02-20 22:30:00,-0.41,0.0,0.0,16.77,23.64,96.0,0.14,22,30,51,3,-0.4,-0.4,147.9925,9.628447434555586,0.0,0.0
2025-02-25 20:00:00,39.48,0.0,0.0,19.05,26.62,96.39,0.11,20,0,56,1,-0.41,-0.4,0.0,1.3372453028520928,0.0,0.0
2025-02-27 14:30:00,75.31,733.08,803.62,49.47,47.03,96.09,0.47,14,30,58,3,39.48,-0.41,183.27,16.163839271658208,733.08,36265.4676
2025-02-27 15:30:00,59.39,446.1,495.89,42.21,47.36,96.02,0.36,15,30,58,3,75.31,39.48,294.795,16.42191523544073,-286.98,18829.881
2025-03-14 15:00:00,76.47,599.25,631.64,45.88,49.3,95.61,0.44,15,0,73,4,59.39,75.31,444.6075,13.725510008739217,153.14999999999998,27493.59
2025-03-16 23:30:00,-0.37,0.0,0.0,21.43,27.27,95.57,0.22,23,30,75,6,76.47,59.39,444.6075,12.566214956514703,-599.25,0.0
2025-03-21 19:30:00,39.33,0.0,0.0,25.53,31.91,95.75,0.32,19,30,80,4,-0.37,76.47,261.3375,12.083855276083607,0.0,0.0
2025-03-24 15:00:00,79.39,516.17,540.08,46.34,47.82,95.81,0.45,15,0,83,0,39.33,-0.37,278.855,13.173555581795943,516.17,23919.3178
2025-03-24 15:30:00,71.62,542.89,560.15,45.92,47.58,95.77,0.44,15,30,83,0,79.39,39.33,264.765,13.184785423611075,26.720000000000027,24929.5088
2025-03-24 16:00:00,60.32,497.45,508.54,42.87,46.95,95.76,0.42,16,0,83,0,71.62,79.39,389.1275,9.878442859749402,-45.44,21325.6815
2025-03-24 16:30:00,43.46,370.06,377.09,41.4,46.3,95.75,0.32,16,30,83,0,60.32,71.62,481.6425,2.389468211408995,-127.38999999999999,15320.484
2025-03-24 17:00:00,24.43,205.29,208.4,37.17,44.28,95.74,0.27,17,0,83,0,43.46,60.32,403.9225,3.638213847480749,-164.77,7630.6293
2025-03-24 17:30:00,10.64,90.92,92.76,32.9,42.01,95.73,0.38,17,30,83,0,24.43,43.46,290.93,4.494696875207556,-114.36999999999999,2991.268
2025-03-24 18:00:00,2.36,10.93,16.08,28.21,39.03,95.73,0.18,18,0,83,0,10.64,24.43,169.29999999999998,5.661489792154281,-79.99000000000001,308.3353
2025-03-24 18:30:00,39.47,0.0,0.0,24.81,35.58,95.75,0.22,18,30,83,0,2.36,10.64,76.785,5.4028410736081245,-10.93,0.0
2025-03-24 19:00:00,39.47,0.0,0.0,23.59,32.83,95.79,0.3,19,0,83,0,39.47,2.36,25.4625,4.168463945707923,0.0,0.0
2025-03-24 19:30:00,39.45,0.0,0.0,23.01,31.14,95.83,0.32,19,30,83,0,39.47,39.47,2.7325,2.327538041221551,0.0,0.0
2025-03-24 20:30:00,39.47,0.0,0.0,21.5,28.92,95.88,0.16,20,30,83,0,39.45,39.47,0.0,1.3744423111454078,0.0,0.0
2025-03-24 21:00:00,39.27,0.0,0.0,20.65,27.97,95.91,0.29,21,0,83,0,39.47,39.45,0.0,1.3515515775088653,0.0,0.0
2025-03-24 21:30:00,-0.24,0.0,0.0,21.32,27.34,95.92,0.34,21,30,83,0,39.27,39.47,0.0,0.996226212597664,0.0,0.0
2025-03-24 22:30:00,-0.31,0.0,0.0,20.0,26.07,95.9,0.31,22,30,83,0,-0.24,39.27,0.0,0.68426968367742,0.0,0.0
2025-03-24 23:30:00,-0.42,0.0,0.0,18.48,25.04,95.85,0.18,23,30,83,0,-0.31,-0.24,0.0,1.214451179202623,0.0,0.0
2025-03-25 00:00:00,-0.4,0.0,0.0,18.87,24.27,95.81,0.08,0,0,84,1,-0.42,-0.31,0.0,1.2763848688124189,0.0,0.0
2025-03-25 00:30:00,-0.4,0.0,0.0,17.67,23.65,95.79,0.3,0,30,84,1,-0.4,-0.42,0.0,0.9688653157172751,0.0,0.0
2025-03-25 01:00:00,-0.4,0.0,0.0,18.48,23.32,95.76,0.08,1,0,84,1,-0.4,-0.4,0.0,0.504678115237746,0.0,0.0
2025-03-25 01:30:00,-0.41,0.0,0.0,17.75,22.98,95.74,0.11,1,30,84,1,-0.4,-0.4,0.0,0.5803662636645226,0.0,0.0
2025-03-25 02:00:00,-0.4,0.0,0.0,18.05,22.89,95.71,0.25,2,0,84,1,-0.41,-0.4,0.0,0.36682193682118386,0.0,0.0
2025-03-25 02:30:00,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,2,30,84,1,-0.4,-0.41,0.0,9.051626004941495,0.0,0.0
2025-03-25 03:00:00,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,3,0,84,1,-0.38,-0.4,0.0,10.335295512627251,0.0,0.0
